,A.1_Expected Annual Damage 0,A.1_Dike Investment Costs 0,A.1_Expected Number of Deaths 0,A.2_Expected Annual Damage 0,A.2_Dike Investment Costs 0,A.2_Expected Number of Deaths 0,A.3_Expected Annual Damage 0,A.3_Dike Investment Costs 0,A.3_Expected Number of Deaths 0,A.4_Expected Annual Damage 0,A.4_Dike Investment Costs 0,A.4_Expected Number of Deaths 0,A.5_Expected Annual Damage 0,A.5_Dike Investment Costs 0,A.5_Expected Number of Deaths 0,RfR Total Costs 0,Expected Evacuation Costs 0,A.1_Expected Annual Damage 1,A.1_Dike Investment Costs 1,A.1_Expected Number of Deaths 1,A.2_Expected Annual Damage 1,A.2_Dike Investment Costs 1,A.2_Expected Number of Deaths 1,A.3_Expected Annual Damage 1,A.3_Dike Investment Costs 1,A.3_Expected Number of Deaths 1,A.4_Expected Annual Damage 1,A.4_Dike Investment Costs 1,A.4_Expected Number of Deaths 1,A.5_Expected Annual Damage 1,A.5_Dike Investment Costs 1,A.5_Expected Number of Deaths 1,RfR Total Costs 1,Expected Evacuation Costs 1,A.1_Expected Annual Damage 2,A.1_Dike Investment Costs 2,A.1_Expected Number of Deaths 2,A.2_Expected Annual Damage 2,A.2_Dike Investment Costs 2,A.2_Expected Number of Deaths 2,A.3_Expected Annual Damage 2,A.3_Dike Investment Costs 2,A.3_Expected Number of Deaths 2,A.4_Expected Annual Damage 2,A.4_Dike Investment Costs 2,A.4_Expected Number of Deaths 2,A.5_Expected Annual Damage 2,A.5_Dike Investment Costs 2,A.5_Expected Number of Deaths 2,RfR Total Costs 2,Expected Evacuation Costs 2
0,0.0,47847947.961454235,0.0,3200258.270851088,0,0.0013301320122274724,0.0,0,0.0,0.0,0,0.0,75214013.02688657,0,0.029636852114220742,0.0,11656.958515473025,0.0,0,0.0,3976126.446647393,0,0.0013301320122274724,0.0,0,0.0,0.0,0,0.0,93448841.01343237,0,0.029636852114220742,115300000.0,11656.958515473025,0.0,42614374.21669578,0.0,0.0,47842699.56310011,0.0,0.0,28798397.130608946,0.0,0.0,7332080.219521779,0.0,76370882.7973777,0,0.030134168241453683,236500000.0,11409.893720042148
1,0.0,47847947.961454235,0.0,1353887.0573611588,0,0.0005711016945774838,5907536.499864386,0,0.0045318556148435905,13722310.72927948,0,0.00265059290552159,0.0,0,0.0,0.0,3238.6803702136713,0.0,0,0.0,1682122.4035507876,0,0.0005711016945774838,7339755.14588664,0,0.0045318556148435905,17049137.282689095,0,0.00265059290552159,0.0,0,0.0,115300000.0,3238.6803702136713,0.0,42614374.21669578,0.0,0.0,47842699.56310011,0.0,0.0,28798397.130608946,0.0,11300998.156268762,7332080.219521779,0.0022240316547118234,0.0,0,0.0,236500000.0,1799.7862409319791
2,0.0,47847947.961454235,0.0,169286.13001741434,0,7.237090457093378e-05,2541483.8725951524,0,0.001988399168378009,14164078.576522779,0,0.0027913684996536898,0.0,0,0.0,0.0,2771.7485582319973,0.0,0,0.0,169286.13001741434,0,7.237090457093378e-05,2541483.8725951524,0,0.001988399168378009,14164078.576522779,0,0.0027913684996536898,0.0,0,0.0,115300000.0,2771.7485582319973,0.0,42614374.21669578,0.0,0.0,47842699.56310011,0.0,0.0,28798397.130608946,0.0,13317535.659177534,7332080.219521779,0.0022940828642580165,0.0,0,0.0,236500000.0,1812.8567069478167
3,0.0,47847947.961454235,0.0,1361896.5033937003,0,0.0005776273572610557,308662.26512765215,0,0.00023861232084256812,10761046.733268049,0,0.002310398805316077,53267414.80390074,0,0.020267680682006566,0.0,10368.017296399676,0.0,0,0.0,1570099.4681289818,0,0.0005776273572610557,355849.69716918014,0,0.00023861232084256812,12406165.747773398,0,0.002310398805316077,61410789.6185948,0,0.020267680682006566,115300000.0,10368.017296399676,0.0,42614374.21669578,0.0,0.0,47842699.56310011,0.0,0.0,28798397.130608946,0.0,1012158.2090939304,7332080.219521779,0.00022725685649223183,79695033.8296533,0,0.029249341154692847,236500000.0,11270.169647760458
4,0.0,47847947.961454235,0.0,1367810.5204488228,0,0.0005824457779420647,2536783.439106313,0,0.0019817298310532694,399533.28599573986,0,9.714470087082793e-05,76806336.30113979,0,0.03032136135134801,0.0,11969.28650168935,0.0,0,0.0,1576917.603728578,0,0.0005824457779420647,2924599.863920655,0,0.0019817298310532694,460612.82797815686,0,9.714470087082793e-05,88548276.22719422,0,0.03032136135134801,115300000.0,11969.28650168935,0.0,42614374.21669578,0.0,0.0,47842699.56310011,0.0,0.0,28798397.130608946,0.0,0.0,7332080.219521779,0.0,89397507.49745016,0,0.03063801973144696,236500000.0,11572.278432313436
5,0.0,47847947.961454235,0.0,50917722.75579225,0,0.016276359883154054,158382746.91701552,0,0.08949110476829521,0.0,0,0.0,0.0,0,0.0,0.0,20786.824499536866,0.0,0,0.0,50917722.75579225,0,0.016276359883154054,158382746.91701552,0,0.08949110476829521,0.0,0,0.0,0.0,0,0.0,115300000.0,20786.824499536866,0.0,42614374.21669578,0.0,3669417.151675389,47842699.56310011,0.001315935877178254,0.0,28798397.130608946,0.0,0.0,7332080.219521779,0.0,75781827.95025396,0,0.025761672504649148,236500000.0,10280.12380831987
6,0.0,47847947.961454235,0.0,51284686.503410585,0,0.016464917917842537,0.0,0,0.0,12304600.852026494,0,0.001984825562902822,0.0,0,0.0,0.0,7068.9631761143655,0.0,0,0.0,41277420.211052865,0,0.016464917917842537,0.0,0,0.0,9903583.594385426,0,0.001984825562902822,0.0,0,0.0,115300000.0,7068.9631761143655,0.0,42614374.21669578,0.0,1578086.73115599,47842699.56310011,0.0005832720078831812,0.0,28798397.130608946,0.0,1382013.7794311028,7332080.219521779,0.00028490564175118427,89147748.95667733,0,0.030544890641990383,236500000.0,11901.985074482383
7,0.0,47847947.961454235,0.0,5059247.6221139375,0,0.0016620301741543891,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,521.22726593368,0.0,0,0.0,4694548.599485778,0,0.0016620301741543891,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,115300000.0,521.22726593368,0.0,42614374.21669578,0.0,0.0,47842699.56310011,0.0,0.0,28798397.130608946,0.0,53696.25083767589,7332080.219521779,1.369693601158455e-05,419828.5678931635,0,0.00017017966064091506,236500000.0,69.17549101691753
8,0.0,47847947.961454235,0.0,85483137.24073477,0,0.025984346213025717,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,9138.222169984736,0.0,0,0.0,73786046.89539385,0,0.025984346213025717,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,115300000.0,9138.222169984736,0.0,42614374.21669578,0.0,40999865.65585285,47842699.56310011,0.01628629608700521,0.0,28798397.130608946,0.0,0.0,7332080.219521779,0.0,0.0,0,0.0,236500000.0,5291.833846394875
9,0.0,47847947.961454235,0.0,3192081.0078853676,0,0.0013234696213988992,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,406.60788797445207,0.0,0,0.0,3192081.0078853676,0,0.0013234696213988992,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,115300000.0,406.60788797445207,0.0,42614374.21669578,0.0,0.0,47842699.56310011,0.0,0.0,28798397.130608946,0.0,0.0,7332080.219521779,0.0,3807810.7496755584,0,0.0014427945048368336,236500000.0,517.6169312818627
10,0.0,47847947.961454235,0.0,1466441.8344442628,0,0.0005821121199534321,2736780.952728989,0,0.002003240378598621,11506445.882481221,0,0.0022981280167343214,0.0,0,0.0,0.0,2251.853478092578,0.0,0,0.0,1367400.996423009,0,0.0005821121199534321,2551943.700631906,0,0.002003240378598621,10729321.26963967,0,0.0022981280167343214,0.0,0,0.0,115300000.0,2251.853478092578,0.0,42614374.21669578,0.0,0.0,47842699.56310011,0.0,0.0,28798397.130608946,0.0,11513270.169568831,7332080.219521779,0.0023005892503333058,0.0,0,0.0,236500000.0,1814.0706973790154
11,0.0,47847947.961454235,0.0,4681361.0591741195,0,0.0016536772772054477,0.0,0,0.0,11891050.756765231,0,0.002143149442000003,0.0,0,0.0,0.0,2300.388481367233,0.0,0,0.0,4060589.400243602,0,0.0016536772772054477,0.0,0,0.0,10314238.540959261,0,0.002143149442000003,0.0,0,0.0,115300000.0,2300.388481367233,0.0,42614374.21669578,0.0,0.0,47842699.56310011,0.0,0.0,28798397.130608946,0.0,418953.61682696274,7332080.219521779,0.00010465610485247137,6160981.331055614,0,0.002447868065996824,236500000.0,977.7073342640381
12,0.0,47847947.961454235,0.0,49902262.5455876,0,0.015821422643034367,85593901.98853813,0,0.049086836463937494,0.0,0,0.0,0.0,0,0.0,0.0,13417.337978576685,0.0,0,0.0,46305026.802913025,0,0.015821422643034367,79423812.13926776,0,0.049086836463937494,0.0,0,0.0,0.0,0,0.0,115300000.0,13417.337978576685,0.0,42614374.21669578,0.0,0.0,47842699.56310011,0.0,0.0,28798397.130608946,0.0,56582.97316023622,7332080.219521779,1.1911379563399288e-05,7128812.1030010795,0,0.0024575468260820896,236500000.0,925.8943752255666
13,0.0,47847947.961454235,0.0,41428035.04682605,0,0.01658763072586999,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5332.228665218314,0.0,0,0.0,44428667.135982625,0,0.01658763072586999,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,115300000.0,5332.228665218314,0.0,42614374.21669578,0.0,1586450.613167679,47842699.56310011,0.0005891828175862074,0.0,28798397.130608946,0.0,413303.7245737567,7332080.219521779,8.834462515968774e-05,93704337.64181916,0,0.03224393546329016,236500000.0,12317.495232907417
14,0.0,47847947.961454235,0.0,167648.18853775712,0,7.103639859533354e-05,72728734.67107445,0,0.05335707256255588,0.0,0,0.0,74423358.21749201,0,0.027113907677819554,0.0,20736.13346186056,0.0,0,0.0,179790.94485354098,0,7.103639859533354e-05,77996476.064339,0,0.05335707256255588,0.0,0,0.0,79813841.17420924,0,0.027113907677819554,115300000.0,20736.13346186056,0.0,42614374.21669578,0.0,0.0,47842699.56310011,0.0,2715452.5221392363,28798397.130608946,0.0019750218267445417,0.0,7332080.219521779,0.0,102352741.77984045,0,0.036064585682439455,236500000.0,15396.801906547524
