,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model
0,119.0,196.28023451121751,1.5,0.7652754719625642,280.8502019044538,10,0.8191592044569349,90.43756045154063,10,0.44386698466622754,97.34214275884244,10,0.5563696356129931,179.876403045478,1.5,0.20111679247187617,3.5,4.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Policy 0,dikesnet
1,0.0,236.44847692436431,1.5,0.2660179057037017,41.32097571813725,1.0,0.9870912331579893,262.7590384318294,10,0.5718429457947086,152.3371007059854,1.5,0.5124986953890828,320.09570505120587,10,0.3078164836642734,2.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Policy 0,dikesnet
2,78.0,271.5438264720634,1.0,0.010454009512230293,81.85098560333861,1.0,0.12362709451064262,309.6808380504296,1.5,0.3406571740005519,146.17668020894288,1.5,0.7168496110335068,58.654763143693884,1.5,0.3829524168825547,1.5,4.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,Policy 0,dikesnet
3,66.0,306.28392087970485,1.5,0.4999499447189732,340.88679353171733,1.0,0.8538674565158588,301.3879089342012,10,0.348746813366379,145.5008281016957,1.0,0.973540775311453,161.62695081557126,1.5,0.6807531526533115,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Policy 0,dikesnet
4,48.0,104.94920749765078,1.0,0.4932858833539232,196.66932029005102,1.0,0.8355981355117349,209.21975732405966,10,0.1460917743987393,189.32271935373066,1.0,0.8752925506299887,196.25976625041162,1.5,0.6695210945251125,4.5,2.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,Policy 0,dikesnet
5,115.0,154.65944859574702,10,0.5707359793433403,52.57341614838161,10,0.8334383864189637,285.7837755111075,10,0.7034878704207675,290.72399969259396,1.0,0.8704203899485167,264.8866662086562,10,0.033821562078599994,2.5,2.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,Policy 0,dikesnet
6,114.0,160.0077878639777,10,0.24822848144451856,288.1027351088384,1.5,0.7932877140642385,186.99461013511166,1.5,0.4717385806963294,83.55056176577293,10,0.6929530739389361,241.4161558763587,1.5,0.2327647016580076,3.5,3.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,Policy 0,dikesnet
7,3.0,173.56523560934332,1.0,0.7054363486254287,178.4178151921391,1.0,0.06643096678923559,73.98623291769849,1.0,0.024168947172064845,121.02470548349352,1.5,0.10556128867408596,336.50481969791434,10,0.9834374515224791,3.5,1.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,Policy 0,dikesnet
8,5.0,282.08634976398014,1.5,0.6855484506460869,247.6146244255288,1.0,0.33225643100856156,337.7490818217804,1.0,0.6952505940086338,125.93104624299878,1.5,0.5006330870305982,98.5379838749701,1.0,0.16506135616558332,4.5,4.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,Policy 0,dikesnet
9,24.0,326.6996083825705,1.5,0.5942566224144678,125.99701692352741,10,0.8434551729136132,222.76440256129092,1.0,0.9467736063581463,158.76822856564922,1.5,0.3878639834853153,170.98605942249725,10,0.2289250942222789,1.5,2.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,Policy 0,dikesnet
